alert_id,user_id,alert_datetime,alert_type,severity,signals_triggered,explanation,recommended_action,escalation_level_0_4,buddy_notified,resolved
A00001,U004,2025-08-23T22:45:00,mood,medium,mood_low,Deviation detected vs personal baseline: mood_low.,Maintain routine; short walk + hydration,1,,0
A00002,U001,2025-08-25T21:30:00,mood,medium,mood_low,Deviation detected vs personal baseline: mood_low.,Enable 'spend pause' for Amazon/food delivery for 24h,1,,0
A00003,U003,2025-08-25T22:15:00,stress,medium,stress_high,Deviation detected vs personal baseline: stress_high.,Plan a 20-min power nap or early bedtime slot | 2-min breathing + shorten next task into one micro-step,1,,0
A00004,U003,2025-08-27T22:15:00,stress,medium,stress_high,Deviation detected vs personal baseline: stress_high.,Plan a 20-min power nap or early bedtime slot | 2-min breathing + shorten next task into one micro-step,1,,0
A00005,U003,2025-08-29T22:15:00,sleep;stress,medium,sleep_low;stress_high,"Deviation detected vs personal baseline: sleep_low, stress_high.",Plan a 20-min power nap or early bedtime slot | 2-min breathing + shorten next task into one micro-step,1,,0
A00006,U002,2025-09-01T10:30:00,mood,medium,mood_low,Deviation detected vs personal baseline: mood_low.,Maintain routine; short walk + hydration,1,,0
A00007,U003,2025-09-01T22:15:00,sleep;stress,medium,sleep_low;stress_high,"Deviation detected vs personal baseline: sleep_low, stress_high.",Plan a 20-min power nap or early bedtime slot | 2-min breathing + shorten next task into one micro-step,1,,0
A00008,U003,2025-09-03T22:15:00,stress,medium,stress_high,Deviation detected vs personal baseline: stress_high.,Plan a 20-min power nap or early bedtime slot | 2-min breathing + shorten next task into one micro-step,1,,0
A00094,U001,2025-09-05T20:00:00,finance,medium,spend_spike,Spending spike detected vs 7-day baseline.,Enable spend pause; review cart/food orders; set weekly budget.,1,,0
A00009,U003,2025-09-05T22:15:00,mood;sleep;stress,medium,sleep_low;stress_high;mood_low,"Deviation detected vs personal baseline: sleep_low, stress_high, mood_low.",Plan a 20-min power nap or early bedtime slot | 2-min breathing + shorten next task into one micro-step,1,,0
A00010,U003,2025-09-08T22:15:00,finance;stress,medium,stress_high;cashflow_low,"Deviation detected vs personal baseline: stress_high, cashflow_low.",Plan a 20-min power nap or early bedtime slot | 2-min breathing + shorten next task into one micro-step | Call CA to review EMI plan & receivables today,1,,0
A00011,U003,2025-09-10T22:15:00,sleep,medium,sleep_low,Deviation detected vs personal baseline: sleep_low.,Plan a 20-min power nap or early bedtime slot | Move funds or negotiate partial payment before 5pm,1,,0
A00012,U003,2025-09-12T22:15:00,engagement/isolation,medium,missed_checkin,Deviation detected vs personal baseline: missed_checkin.,"Retry check-in; if no response, ping buddy/caregiver",1,,0
